[Needs]
NE01 | Need | Better water pressure
ARS21 | Condensate | Soakaway where suitable drainage available
ARS22 | Condensate | Customer to maintain clear, free-flowing route
ARS23 | Condensate | No responsibility for freezing if MI compliant
ARS24 | Controls | Installed per manufacturer’s instructions
ARS25 | Controls | Hive works locally without Wi-Fi; app needs internet + USB power
ARS26 | Controls | Smart controls may require network for app features
ARS27 | Controls | Not responsible for internet/app issues
ARS28 | Controls | Room stat location chosen by best judgement
ARS29 | Flue | Clearances checked at install; future obstructions not covered
ARS30 | Flue | Brickwork/render made good to reasonable standard
ARS31 | Flue | Flashings/weatherproofing only — not decorative
ARS32 | Flue | Redundant openings made safe/sealed where practical
ARS33 | Access | Safe access for install only — permanent access is customer responsibility
ARS34 | Access | Loft must be boarded/lit/safe before works
ARS35 | Access | Working at height precautions may require scaffold/tower
ARS36 | Access | No work above safe height without suitable equipment
ARS37 | Customer | Customer to clear working area
ARS38 | Customer | Pets to be contained during works
ARS39 | Customer | Noise/dust/disruption unavoidable during install
ARS40 | Customer | Water/heating may be temporarily unavailable
ARS41 | Customer | Customer responsible for redecorating/boxing-in after completion
ARS42 | General | Works to Gas Safe & Building Regs at time of install
ARS43 | General | Manufacturer warranty subject to annual service
ARS44 | General | No liability for pre-existing/unrelated plumbing issues
ARS45 | General | Performance depends on design and existing pipework
ARS46 | General | Recommendations based on visible inspection only

[Components that require assistance]
CS01 | Cylinder | Removal required
CS02 | Cylinder | Replacement required
CS03 | CWS tank | Removal required
CS04 | Boiler | Two-person lift required
CS05 | Radiators | Heavy radiators

[Restrictions to work]
SR01 | Access | No loft access
SR02 | Clearance | Restricted clearance
SR03 | Parking | Limited / permit required
SR04 | Hours | Working hours restricted
SR05 | Pets | On site
SR06 | Occupant | Vulnerable person present
SR07 | Noise | Restrictions in place
SR08 | Drainage | Septic tank – not suitable for condensate
SR09 | Building | Listed – consent required
SR10 | Building | Listed – permission required
SR11 | Property type | Flats – management permission required

[External hazards]
EH01 | Asbestos | Suspected
EH02 | Roof | Fragile tiles / material
EH03 | Environment | Flood risk / standing water
EH04 | Insects | Wasps nesting
EH05 | Insects | Bees nesting
EH06 | Lighting | Poor / no power
EH07 | Site | Pet mess present
EH08 | Animals | Dog(s) present
EH09 | Animals | Other potentially dangerous
ASB50 | Asbestos | Visual check each visit; stop work if suspected ACM is damaged/friable
ASB51 | Asbestos | Non-notifiable tasks only within limits
ASB52 | Asbestos | Limited fixings only – record
HAZ50 | Electrical | Overhead cables within 3 m – liaise with DNO
HAZ51 | Site | Customer to clear working areas; protect fragile roofs/greenhouses

[Delivery notes]
DL01 | Slot | Preferred AM
DL02 | Slot | Preferred PM
DL03 | Access | Large vehicle suitable
DL04 | Access | Large vehicle restricted
DL05 | Delivery | To garage
DL06 | Delivery | To room within property
DL07 | Contact | Call ahead on arrival
DL08 | Handling | Two-person lift
DL09 | Handling | Stairs / no lift

[Office notes]
OA01 | Labour | Direct labour required
OA02 | Specialist works | Asbestos removal
OA03 | Specialist works | Specialist builder
OA04 | Specialist works | Scaffolding
OA05 | Assistance | Two-person required

[New boiler and controls]
BLC01 | Location | Kitchen – not in cupboard
BLC02 | Location | Kitchen – within cupboard
BLC04 | Location | Utility room
BLC05 | Location | Loft
BLC06 | Location | Garage
BLC08 | Location | Airing cupboard
BT01 | Boiler type | Regular
BT02 | Boiler type | System
BT03 | Boiler type | Combi
UC01 | User control | Hive
UC02 | User control | Hive Mini
UC03 | User control | Programmable thermostat
UC05 | User control | Wireless room stat

[Flue]
FMG01 | Make good | Old balanced flue
FMG02 | Make good | Old fanned flue
FMG03 | Make good | Old roof terminal
FMG04 | Make good | Brick up old flue opening
FN01 | New flue | Use same hole – minor change
FN02 | New flue | New hole – same wall
FN03 | New flue | New hole – alternative wall
FN04 | Orientation | Horizontal
FN05 | Orientation | Vertical
FN09 | Add-on | Plume kit required
FN10 | Add-on | Flue extension
FN11 | Safety | Terminal guard required
FLU50 | Min 300 mm from openings
FLU52 | ≥600 mm to facing surface/boundary (nuisance pluming)
FLU53 | Voids require inspection hatches

[Pipe work]
GR01 | Gas | Upgrade to 22 mm
GR10 | Gas | Upsize sections for capacity
GAS51 | Compliance | Max 1 mbar drop on new runs
CD01 | Condensate | Internal waste – trap present
CD02 | Condensate | Internal waste – add trap
CD03 | Condensate | External run insulated (42 mm MI)
CD05 | Condensate | Pump required
CD11 | Condensate | Neutraliser fitted (where required)
DS02 | Discharge | Tundish visible and compliant
WS01 | Mains | Increase pressure/flow (PRV/accumulator as needed)
WS04 | Filter | Scale filter required

[Disruption / Cleaning / Filtration]
PF01 | Powerflush required
PF02 | Chemical clean and inhibit
PF03 | Magnetic filter
PF54 | Benefit | Improved circulation & efficiency
CE50 | Combi DHW not truly “instant”
CE51 | Flow depends on mains; demo with flow cup
CE53 | Sealed system can expose weeps
CE55 | External condensate needs insulation/trace

[Radiators]
RD01 | Replace radiator(s)
RD03 | Fit TRVs / lockshields
RD04 | Balance system on completion

[Customer actions]
CA01 | Clear working areas
CA02 | Gain permission where required
CA03 | Keep animals safe
CA04 | Remove cupboard (if agreed)
CA05 | Rebuild cupboard (if agreed)
CA07 | Supply specified items
